Crimes,cityKod,city,crimeType
139,4000,חיפה,החזקת סמים שלא לצריכה עצמית
137,2400,אור יהודה,(תקיפה (למעט עובדי ציבור
137,70,אשדוד,הסגות גבול
137,7300,נצרת,חבלה גופנית חמורה
136,7000,לוד,גניבה שמוש רכב ללא רשות
136,9000,באר שבע,פגיעה בפרטיות
135,8000,צפת,איומים
135,7700,עפולה,עבירות נגד הסדר הצבורי
134,7800,פרדס חנה-כרכור,(תקיפה (למעט עובדי ציבור
134,3616,מעלה אדומים,איומים
134,7300,נצרת,גניבות אחרות
134,6600,חולון,חבלה גופנית חמורה
133,1020,אור עקיבא,(תקיפה (למעט עובדי ציבור
133,2630,קרית גת,עבירות הנוגעות לנחלת משפט
133,8400,רחובות,עבירות נגד הסדר הצבורי
133,3000,ירושלים,פגיעה בפרטיות
132,1192,ערערה-בנגב,(תקיפה (למעט עובדי ציבור
132,8600,רמת גן,גניבה מתוך רכב
132,6200,בת ים,החזקת סמים שלא לצריכה עצמית
131,8000,צפת,גרימת נזק לרכוש בזדון
131,7400,נתניה,חבלה גופנית חמורה
131,7000,לוד,עבירות הנוגעות לנחלת משפט
131,634,כפר קאסם,עבירות על חוק הכניסה לישראל
131,7000,לוד,תקיפת והכשלת שוטר
130,1192,ערערה-בנגב,איומים
130,9600,קרית ים,גרימת נזק לרכוש בזדון
130,8600,רמת גן,הסגות גבול
130,2610,בית שמש,מרמה ועושק
130,7600,עכו,עבירות הנוגעות לנחלת משפט
130,7600,עכו,עבירות נגד הסדר הצבורי
129,3616,מעלה אדומים,(תקיפה (למעט עובדי ציבור
129,1054,תל שבע,עבירות נגד הסדר הצבורי
128,6100,בני ברק,גניבה שמוש רכב ללא רשות
128,3000,ירושלים,התפרצות לבתי עסק ומוסדות
128,1192,ערערה-בנגב,עבירות אחרות כלפי בטחון
127,1139,כרמיאל,גניבות אחרות
127,8500,רמלה,חבלה גופנית חמורה
127,6900,כפר סבא,עבירות נגד הסדר הצבורי
127,2630,קרית גת,עבירות נגד הסדר הצבורי
127,7400,נתניה,עבירות על חוק הכניסה לישראל
127,8300,ראשון לציון,עבירות פיסקליות
126,1247,חריש,(תקיפה (למעט עובדי ציבור
126,634,כפר קאסם,איומים
125,2200,דימונה,גניבות אחרות
125,1139,כרמיאל,גרימת נזק לרכוש בזדון
125,8400,רחובות,עבירות הנוגעות לנחלת משפט
125,5000,תל אביב יפו,פגיעה בפרטיות
124,6300,גבעתיים,(תקיפה (למעט עובדי ציבור
124,638,קלנסווה,איומים
124,1200,מודיעין-מכבים-רעות,גניבות אחרות
124,2720,טירה,עבירות על חוק הכניסה לישראל
123,2650,רמת השרון,גניבות אחרות
123,246,נתיבות,גרימת נזק לרכוש בזדון
123,7000,לוד,חבלה גופנית חמורה
123,8300,ראשון לציון,תקיפת והכשלת שוטר
122,6400,הרצליה,גניבה מתוך רכב
122,1161,רהט,גניבות אחרות
122,2730,טייבה,גרימת נזק לרכוש בזדון
121,1309,אלעד,(תקיפה (למעט עובדי ציבור
121,3780,ביתר עילית,(תקיפה (למעט עובדי ציבור
121,2400,אור יהודה,גניבה שמוש רכב ללא רשות
121,6400,הרצליה,גניבת אופניים
121,2710,אום אל-פחם,עבירות אחרות כלפי בטחון
121,6600,חולון,עבירות פיסקליות
121,9000,באר שבע,רשלנות ופחזות פלילית
120,531,עראבה,איומים
120,6600,חולון,החזקת סמים שלא לצריכה עצמית
120,3000,ירושלים,הצתה
120,70,אשדוד,התפרצות לבתי עסק ומוסדות
120,7000,לוד,עבירות על חוק הכניסה לישראל
119,6000,באקה אל-גרביה,איומים
119,8200,קרית מוצקין,גרימת נזק לרכוש בזדון
119,9000,באר שבע,הטרדה מינית
119,3000,ירושלים,קטטות והפרעות ברחובות
118,2530,באר יעקב,איומים
118,6300,גבעתיים,איומים
117,1054,תל שבע,(תקיפה (למעט עובדי ציבור
117,9700,הוד השרון,גניבות אחרות
117,6200,בת ים,הסגות גבול
117,6200,בת ים,התפרצות לבית דירה
117,8900,טמרה,עבירות על חוק הכניסה לישראל
116,8800,שפרעם,עבירות על חוק הכניסה לישראל
115,7000,לוד,גניבה מתוך רכב
115,4000,חיפה,זיוף מסמכים והפצתם
115,1161,רהט,חבלה גופנית חמורה
